id,country_id,dimension_id,sub_dimension_id,category_id,indicator_id,level_measurement_id,measurement_unit_id,e_d_change,baseline,max_p_value,min_p_value,form_type,form_id,added_by,added_datetime,ip_address,status
99,2,1,1,2,3,2,4,1,15,40,15,2,1,1,09-09-2022 13:45,127.0.0.1,1
100,2,1,1,2,4,2,14,1,6,95,6,2,1,1,09-09-2022 13:45,127.0.0.1,1
101,2,1,1,2,5,2,17,1,0,20,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
102,2,2,2,3,6,3,6,1,0,50,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
103,2,2,2,3,7,2,39,1,1,7,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
104,2,2,2,3,8,2,19,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
105,2,2,2,4,9,3,10,1,3,10,3,2,1,1,09-09-2022 13:45,127.0.0.1,1
106,2,2,2,5,10,3,6,0,0,100,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
107,2,2,2,5,11,3,39,0,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
108,2,2,2,5,12,2,27,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
109,2,2,2,6,13,2,20,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
110,2,2,2,6,14,2,20,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
111,2,2,3,7,15,2,7,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
112,2,2,3,7,16,2,38,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
113,2,2,3,7,17,2,15,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
114,2,2,3,7,18,2,39,1,154165,99967840,154165,2,1,1,09-09-2022 13:45,127.0.0.1,1
115,2,2,3,8,19,2,29,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
116,2,2,3,8,20,2,29,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
117,2,2,3,9,21,4,12,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
118,2,3,4,10,22,2,36,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
119,2,3,4,11,23,3,5,1,0,100,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
120,2,3,4,11,24,2,5,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
121,2,3,4,11,25,2,31,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
122,2,3,4,12,26,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
123,2,3,4,12,27,2,34,0,6,95,6,2,1,1,09-09-2022 13:45,127.0.0.1,1
124,2,3,4,12,28,2,39,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
125,2,3,4,12,29,1,39,0,0,0,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
126,2,3,4,13,30,2,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
127,2,3,4,13,31,2,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
128,2,3,4,13,32,2,11,0,6,95,6,2,1,1,09-09-2022 13:45,127.0.0.1,1
129,2,3,4,14,33,1,22,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
130,2,3,4,14,34,1,22,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
131,2,3,4,15,35,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
132,2,3,4,15,36,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
133,2,3,4,15,37,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
134,2,3,4,15,38,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
135,2,3,4,15,39,3,29,1,6,95,6,2,1,1,09-09-2022 13:45,127.0.0.1,1
136,2,3,4,15,40,2,28,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
137,2,3,5,16,41,3,29,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
138,2,3,5,16,42,4,10,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
139,2,3,5,16,43,4,26,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
140,2,3,5,17,44,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
141,2,3,5,17,45,3,2,0,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
142,2,3,5,17,46,1,23,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
143,2,3,5,17,47,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
144,2,3,5,18,48,3,30,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
145,2,3,5,18,49,3,2,0,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
146,2,3,5,18,50,1,23,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
147,2,3,5,18,51,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
148,2,3,5,19,52,3,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
149,2,3,5,19,53,3,2,0,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
150,2,3,5,19,54,1,23,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
151,2,3,5,19,55,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
152,2,3,5,19,56,1,40,0,0,0,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
153,2,3,5,20,57,2,24,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
154,2,3,6,21,58,4,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
155,2,3,6,21,59,1,32,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
156,2,3,6,21,60,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
157,2,3,6,21,61,2,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
158,2,3,6,21,62,2,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
159,2,3,6,21,63,1,40,0,0,0,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
160,2,3,6,22,64,2,1,0,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
161,2,3,6,23,65,1,40,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
162,2,3,6,24,66,3,29,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
163,2,3,6,24,67,2,16,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
164,2,3,6,24,68,2,35,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
165,2,3,6,25,69,1,32,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
166,2,3,6,25,70,1,32,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
167,2,3,6,25,71,1,40,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
168,2,3,6,25,72,1,40,1,1,1,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
169,2,3,7,26,73,2,36,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
170,2,3,7,27,74,2,18,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
171,2,3,7,27,75,3,8,0,0,50,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
172,2,3,7,27,76,3,37,1,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
173,2,3,7,28,77,3,40,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
174,2,3,7,28,78,2,40,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
175,2,3,7,29,79,2,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
176,2,3,7,29,80,2,33,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
177,2,3,7,30,81,2,25,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
178,2,3,7,30,82,2,23,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
179,2,3,7,31,83,1,27,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
180,2,3,7,31,84,2,27,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
181,2,3,7,31,85,1,39,1,63387663,483191562,63387663,2,1,1,09-09-2022 13:45,127.0.0.1,1
182,2,3,7,31,86,2,39,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
183,2,3,7,31,87,2,39,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
184,2,3,7,31,88,2,13,1,0,15,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
185,2,3,7,31,89,2,21,1,0,10,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
186,2,3,7,31,90,2,19,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
187,2,1,1,2,91,2,3,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
188,2,2,2,6,92,2,25,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
189,2,2,2,6,93,2,25,0,5,94,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
190,2,3,4,13,94,2,25,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
191,2,3,4,14,95,1,32,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
192,2,3,4,14,96,1,32,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
193,3,1,1,1,1,2,3,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
194,3,1,1,1,2,2,9,1,413,1996,413,2,1,1,09-09-2022 13:45,127.0.0.1,1
195,3,1,1,2,3,2,4,1,15,40,15,2,1,1,09-09-2022 13:45,127.0.0.1,1
196,3,1,1,2,4,2,14,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
197,3,1,1,2,5,2,17,1,0,20,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
198,3,2,2,3,6,3,6,1,0,50,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
199,3,2,2,3,7,2,39,1,1,7,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
200,3,2,2,3,8,2,19,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
201,3,2,2,4,9,3,10,1,3,10,3,2,1,1,09-09-2022 13:45,127.0.0.1,1
202,3,2,2,5,10,3,6,0,0,100,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
203,3,2,2,5,11,3,39,0,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
204,3,2,2,5,12,2,27,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
205,3,2,2,6,13,2,20,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
206,3,2,2,6,14,2,20,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
207,3,2,3,7,15,2,7,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
208,3,2,3,7,16,2,38,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
209,3,2,3,7,17,2,15,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
210,3,2,3,7,18,2,39,1,554344,99416500,554344,2,1,1,09-09-2022 13:45,127.0.0.1,1
