indicator_weight_id,country_id,dimension_id,sub_dimension_id,category_id,indicator_id,indicator_weight_grazing,indicator_weight_grazing_prcnt,indicator_weight_mixed,indicator_weight_mixed_prcnt,status
207,3,3,4,12,27,1,,1,,1
208,3,3,4,12,28,0,,0,,1
209,3,3,4,12,29,0,,0,,1
210,3,3,4,13,30,1,,1,,1
211,3,3,4,13,31,1,,1,,1
212,3,3,4,13,32,1,,1,,1
213,3,3,4,14,33,0,,0,,1
214,3,3,4,14,34,0,,0,,1
215,3,3,4,15,35,1,,1,,1
216,3,3,4,15,36,1,,1,,1
217,3,3,4,15,37,1,,1,,1
218,3,3,4,15,38,1,,1,,1
219,3,3,4,15,39,1,,1,,1
220,3,3,4,15,40,1,,0,,1
221,3,3,5,16,41,1,,1,,1
222,3,3,5,16,42,1,,1,,1
223,3,3,5,16,43,1,,1,,1
224,3,3,5,17,44,1,,1,,1
225,3,3,5,17,45,1,,1,,1
226,3,3,5,17,46,0,,0,,1
227,3,3,5,17,47,0,,0,,1
228,3,3,5,18,48,1,,1,,1
229,3,3,5,18,49,1,,1,,1
230,3,3,5,18,50,0,,0,,1
231,3,3,5,18,51,0,,0,,1
232,3,3,5,19,52,1,,1,,1
233,3,3,5,19,53,1,,1,,1
234,3,3,5,19,54,0,,0,,1
235,3,3,5,19,55,0,,0,,1
236,3,3,5,19,56,0,,0,,1
237,3,3,5,20,57,0,,0,,1
238,3,3,6,21,58,1,,0,,1
239,3,3,6,21,59,0,,0,,1
240,3,3,6,21,60,0,,0,,1
241,3,3,6,21,61,1,,0,,1
242,3,3,6,21,62,1,,1,,1
243,3,3,6,21,63,1,,1,,1
244,3,3,6,22,64,1,,1,,1
245,3,3,6,23,65,1,,1,,1
246,3,3,6,24,66,1,,1,,1
247,3,3,6,24,67,1,,1,,1
248,3,3,6,24,68,1,,1,,1
249,3,3,6,25,69,0,,0,,1
250,3,3,6,25,70,0,,0,,1
251,3,3,6,25,71,0,,0,,1
252,3,3,6,25,72,0,,0,,1
253,3,3,7,26,73,1,,1,,1
254,3,3,7,27,74,1,,1,,1
255,3,3,7,27,75,1,,1,,1
256,3,3,7,27,76,1,,1,,1
257,3,3,7,28,77,1,,1,,1
258,3,3,7,28,78,1,,1,,1
259,3,3,7,29,79,1,,1,,1
260,3,3,7,29,80,1,,1,,1
261,3,3,7,30,81,2,,1,,1
262,3,3,7,30,82,0,,0,,1
263,3,3,7,31,83,0,,0,,1
264,3,3,7,31,84,0,,0,,1
265,3,3,7,31,85,0,,0,,1
266,3,3,7,31,86,0,,0,,1
267,3,3,7,31,87,0,,0,,1
268,3,3,7,31,88,1,,1,,1
269,3,3,7,31,89,1,,1,,1
270,3,3,7,31,90,1,,1,,1
271,1,1,1,2,91,0,,0,,0
272,1,2,2,6,92,0,,0,,0
273,1,2,2,6,93,0,,0,,0
274,1,3,4,13,94,0,,0,,0
275,1,3,4,14,95,0,,0,,0
276,1,3,4,14,96,0,,0,,0
277,2,1,1,2,91,0,,0,,0
278,2,2,2,6,92,0,,0,,0
279,2,2,2,6,93,0,,0,,0
280,2,3,4,13,94,0,,0,,0
281,2,3,4,14,95,0,,0,,0
282,2,3,4,14,96,0,,0,,0
283,3,1,1,2,91,0,,0,,0
284,3,2,2,6,92,0,,0,,0
285,3,2,2,6,93,0,,0,,0
286,3,3,4,13,94,0,,0,,0
287,3,3,4,14,95,0,,0,,0
288,3,3,4,14,96,0,,0,,0
